wavelength, MY27:ORB0518_3, MY28:ORB3198_5
2.527539968490600586e+00 1.268878817558288574e+00 5.817617177963256836e-01
2.548530101776123047e+00 1.181451320648193359e+00 3.644412457942962646e-01
2.569570064544677734e+00 1.072033762931823730e+00 3.680433332920074463e-01
2.590300083160400391e+00 1.106318950653076172e+00 5.636934638023376465e-01
2.611129999160766602e+00 1.035497784614562988e+00 4.279558658599853516e-01
2.632829904556274414e+00 9.539995789527893066e-01 nan
2.652499914169311523e+00 2.171941995620727539e-01 4.258169829845428467e-01
2.673480033874511719e+00 1.878402009606361389e-02 2.225674688816070557e-01
2.694309949874877930e+00 6.560564786195755005e-02 1.313788164407014847e-02
2.714940071105957031e+00 1.242422387003898621e-01 2.086633071303367615e-02
2.735529899597167969e+00 1.110329385846853256e-02 7.017355412244796753e-02
2.755850076675415039e+00 7.246510125696659088e-03 1.228188071399927139e-02
2.776910066604614258e+00 2.337546832859516144e-02 2.543178290181913326e-08
2.797580003738403320e+00 6.256926059722900391e-02 1.197297964245080948e-02
2.818320035934448242e+00 9.116712212562561035e-02 4.216482117772102356e-02
2.838769912719726562e+00 1.142454221844673157e-01 6.357286870479583740e-02
2.859819889068603516e+00 1.275094300508499146e-01 8.514945954084396362e-02
2.880749940872192383e+00 1.391814351081848145e-01 1.063407510519027710e-01
2.902420043945312500e+00 1.334061175584793091e-01 1.177723556756973267e-01
2.923019886016845703e+00 1.326102912425994873e-01 1.102816984057426453e-01
2.943959951400756836e+00 1.322653889656066895e-01 1.037119552493095398e-01
2.964270114898681641e+00 1.310524791479110718e-01 1.033210679888725281e-01
2.985100030899047852e+00 1.288835406303405762e-01 9.818380326032638550e-02
3.005919933319091797e+00 1.348311752080917358e-01 1.028385311365127563e-01
3.026799917221069336e+00 1.369893699884414673e-01 1.023686230182647705e-01
3.048360109329223633e+00 1.358429938554763794e-01 1.034345477819442749e-01
3.068559885025024414e+00 1.392269581556320190e-01 1.080782711505889893e-01
3.089390039443969727e+00 1.369155496358871460e-01 nan
3.109750032424926758e+00 1.432769745588302612e-01 1.093140840530395508e-01
3.130500078201293945e+00 1.478593647480010986e-01 1.084132939577102661e-01
3.151550054550170898e+00 nan nan
3.172590017318725586e+00 1.520942747592926025e-01 1.082463786005973816e-01
3.192830085754394531e+00 1.569751948118209839e-01 1.120780557394027710e-01
3.213740110397338867e+00 1.593887656927108765e-01 1.160717755556106567e-01
3.234659910202026367e+00 1.583257913589477539e-01 nan
3.255419969558715820e+00 1.635846346616744995e-01 1.097173467278480530e-01
3.276329994201660156e+00 1.671911031007766724e-01 1.155136525630950928e-01
3.297549962997436523e+00 1.696583926677703857e-01 1.259377598762512207e-01
3.318180084228515625e+00 1.737377047538757324e-01 1.248755604028701782e-01
3.339370012283325195e+00 1.753302663564682007e-01 1.263727247714996338e-01
3.359719991683959961e+00 1.781336665153503418e-01 1.273274123668670654e-01
3.380880117416381836e+00 1.851643919944763184e-01 1.344633102416992188e-01
3.401779890060424805e+00 1.881963908672332764e-01 1.336709111928939819e-01
3.422630071640014648e+00 2.007118463516235352e-01 1.346883028745651245e-01
3.443429946899414062e+00 2.027700990438461304e-01 1.407883614301681519e-01
3.464139938354492188e+00 2.063705921173095703e-01 1.425543427467346191e-01
3.484620094299316406e+00 2.071640938520431519e-01 1.507666707038879395e-01
3.505029916763305664e+00 2.156609445810317993e-01 1.442437022924423218e-01
3.525510072708129883e+00 2.114338874816894531e-01 1.456470489501953125e-01
3.546210050582885742e+00 2.147446572780609131e-01 1.485316604375839233e-01
3.566760063171386719e+00 2.111987918615341187e-01 1.449866145849227905e-01
3.587790012359619141e+00 2.133445292711257935e-01 1.531695425510406494e-01
3.607949972152709961e+00 2.104979753494262695e-01 1.546244025230407715e-01
3.628489971160888672e+00 2.075541466474533081e-01 1.562120914459228516e-01
3.649159908294677734e+00 2.117641270160675049e-01 1.618634015321731567e-01
3.669600009918212891e+00 2.109818607568740845e-01 1.602399051189422607e-01
3.690180063247680664e+00 2.088803350925445557e-01 1.616348028182983398e-01
3.710589885711669922e+00 2.088461369276046753e-01 1.598303467035293579e-01
3.731400012969970703e+00 2.031332403421401978e-01 1.620272099971771240e-01
3.752569913864135742e+00 2.000581771135330200e-01 1.650811880826950073e-01
3.773040056228637695e+00 1.936098933219909668e-01 nan
3.793979883193969727e+00 1.849992871284484863e-01 1.543883085250854492e-01
