wavelength, Radiance
2.673479976918243128e+00 3.941490866801462822e-02
2.694309927279227690e+00 1.715749691092799878e-04
2.714940111814807988e+00 1.102997844055985527e-02
2.735529874461883892e+00 3.128967789018906320e-02
2.755850091014705239e+00 2.353867843449509827e-03
2.776910070517132123e+00 1.423278342764883414e-04
2.797579981412878780e+00 6.218481133305450541e-03
2.818320015784846699e+00 4.452096794153632270e-02
2.838769932600504475e+00 1.040715579630854259e-01
2.859819893690771053e+00 1.655813093345708253e-01
2.880749861493546504e+00 2.027835555069364415e-01
