Longitude[deg], Latitude[deg], Radiance
24.696800 7.835800 0.041314
24.709499 7.835400 0.036144
24.717499 7.835100 0.030975
24.724400 7.834700 0.030975
24.733599 7.834300 0.030975
24.742899 7.834000 0.041314
24.750900 7.833600 0.041314
24.758999 7.833300 0.030975
24.769400 7.832900 0.041314
24.777399 7.832500 0.041314
24.785500 7.832200 0.036144
24.793600 7.831800 0.036144
24.802799 7.831400 0.025806
24.812099 7.831100 0.030975
24.819000 7.830700 0.046483
24.828299 7.830300 0.041314
24.837500 7.830000 0.046483
24.845600 7.829600 0.046483
24.853699 7.829300 0.046483
24.861799 7.828900 0.041314
24.871000 7.828500 0.051652
24.879099 7.828200 0.051652
24.887299 7.827800 0.036144
24.896599 7.827400 0.046483
24.904699 7.827100 0.036144
24.912800 7.826700 0.036144
24.921999 7.826300 0.041314
24.930000 7.826000 0.036144
24.938099 7.825600 0.020637
24.947500 7.825200 0.030975
24.955599 7.824900 0.030975
24.963699 7.824500 0.041314
24.700100 7.823400 0.030896
24.713900 7.823000 0.025726
24.718500 7.822700 0.030896
24.726599 7.822300 0.030896
24.735800 7.821900 0.030896
24.742699 7.821600 0.030896
24.751900 7.821200 0.030896
24.760000 7.820800 0.030896
24.768099 7.820500 0.036065
24.777300 7.820100 0.041234
24.785398 7.819800 0.030896
24.793499 7.819400 0.030896
24.802700 7.819000 0.041234
24.810799 7.818700 0.041234
24.820099 7.818300 0.041234
24.828199 7.817900 0.025726
24.836300 7.817600 0.036065
24.845499 7.817200 0.036065
24.853600 7.816900 0.025726
24.861700 7.816500 0.041234
24.871000 7.816100 0.036065
24.879099 7.815800 0.020557
24.887199 7.815400 0.036065
24.895300 7.815000 0.030896
24.903399 7.814700 0.025726
24.912699 7.814300 0.030896
24.920799 7.813900 0.036065
24.928900 7.813600 0.041234
24.938099 7.813200 0.030896
24.946299 7.812800 0.041234
24.955599 7.812500 0.051573
24.963699 7.812100 0.041234
24.701099 7.811000 0.046323
24.713799 7.810600 0.035984
24.718399 7.810300 0.025646
24.726500 7.809900 0.025646
24.735699 7.809500 0.046323
24.743799 7.809200 0.051492
24.751799 7.808800 0.041153
24.759899 7.808500 0.030815
24.768000 7.808100 0.041153
24.777199 7.807700 0.046323
24.785299 7.807400 0.046323
24.794498 7.807000 0.046323
24.802599 7.806600 0.056661
24.810699 7.806300 0.051492
24.818800 7.805900 0.035984
24.828100 7.805500 0.035984
24.836199 7.805200 0.046323
24.845400 7.804800 0.046323
24.852400 7.804500 0.035984
24.861599 7.804100 0.041153
24.869699 7.803700 0.030815
24.879000 7.803400 0.041153
24.887100 7.803000 0.046323
24.895199 7.802600 0.041153
24.904499 7.802300 0.035984
24.912600 7.801900 0.030815
24.920700 7.801500 0.041153
24.930000 7.801200 0.030815
24.938099 7.800800 0.041153
24.946199 7.800400 0.041153
24.955500 7.800100 0.025646
24.963600 7.799700 0.035984
24.701000 7.798600 0.041074
24.713699 7.798200 0.030735
24.718300 7.797900 0.035905
24.726299 7.797500 0.041074
24.735600 7.797100 0.030735
24.742500 7.796800 0.046243
24.751699 7.796400 0.041074
24.759800 7.796100 0.041074
24.767899 7.795700 0.046243
24.777100 7.795300 0.041074
24.785200 7.795000 0.035905
24.793299 7.794600 0.046243
24.802500 7.794200 0.041074
24.810600 7.793900 0.041074
24.819899 7.793500 0.035905
24.827999 7.793200 0.035905
24.836100 7.792800 0.035905
24.845299 7.792400 0.035905
24.853399 7.792100 0.035905
24.861500 7.791700 0.030735
24.869600 7.791300 0.015228
24.878899 7.791000 0.020397
24.886999 7.790600 0.030735
24.896299 7.790200 0.030735
24.903200 7.789900 0.051412
24.912498 7.789500 0.051412
24.920599 7.789100 0.030735
24.929899 7.788800 0.030735
24.938000 7.788400 0.046243
24.946100 7.788100 0.041074
24.954300 7.787700 0.030735
24.963600 7.787300 0.025566
24.700899 7.786200 0.025485
24.713499 7.785800 0.030655
24.718100 7.785500 0.035824
24.726200 7.785100 0.035824
24.735399 7.784700 0.030655
24.742399 7.784400 0.030655
24.751600 7.784000 0.030655
24.759699 7.783700 0.035824
24.767700 7.783300 0.035824
24.776999 7.782900 0.046162
24.785099 7.782600 0.030655
24.793200 7.782200 0.030655
24.802399 7.781800 0.040993
24.810499 7.781500 0.035824
24.819799 7.781100 0.040993
24.827900 7.780800 0.020316
24.835999 7.780400 0.030655
24.844099 7.780000 0.030655
24.853399 7.779700 0.030655
24.861500 7.779300 0.025485
24.869499 7.778900 0.020316
24.878799 7.778600 0.035824
24.886900 7.778200 0.040993
24.896200 7.777800 0.035824
24.904299 7.777500 0.030655
24.912399 7.777100 0.030655
24.920599 7.776800 0.030655
24.928699 7.776400 0.030655
24.937899 7.776000 0.030655
24.946100 7.775700 0.030655
24.955399 7.775300 0.040993
24.963499 7.774900 0.040993
24.699600 7.773800 0.040914
24.713400 7.773400 0.040914
24.717999 7.773100 0.030575
24.726099 7.772700 0.040914
24.735300 7.772300 0.040914
24.742199 7.772000 0.040914
24.751499 7.771600 0.030575
24.759499 7.771300 0.046083
24.767599 7.770900 0.035744
24.776899 7.770500 0.035744
24.785000 7.770200 0.030575
24.793098 7.769800 0.046083
24.802299 7.769500 0.025406
24.810499 7.769100 0.035744
24.819700 7.768700 0.046083
24.827799 7.768400 0.046083
24.835899 7.768000 0.035744
24.845200 7.767600 0.035744
24.853300 7.767300 0.035744
24.861399 7.766900 0.035744
24.869499 7.766600 0.040914
24.877600 7.766200 0.046083
24.886900 7.765800 0.040914
24.896099 7.765400 0.046083
24.904299 7.765100 0.046083
24.912399 7.764700 0.040914
24.920500 7.764400 0.046083
24.928600 7.764000 0.025406
24.937899 7.763600 0.035744
24.945999 7.763300 0.035744
24.954199 7.762900 0.025406
24.963499 7.762500 0.035744
24.700600 7.761400 0.040833
24.713299 7.761000 0.035664
24.717899 7.760700 0.025325
24.726000 7.760300 0.040833
24.735199 7.760000 0.035664
