Vincendon retrievals, Our retrievals, y=ax+b
2.869999885559082031e+00,4.362638918570163504e+00,4.514801846982663847e+00
9.900000095367431641e-01,1.348908635304695069e+00,8.579215670381392655e-01
7.699999809265136719e-01,4.800560322920703338e-01,4.299886844497897709e-01
1.110000014305114746e+00,6.405170410580381946e-01,1.091339481915434062e+00
6.100000143051147461e-01,5.372991801044447735e-01,1.187648752400152219e-01
8.299999833106994629e-01,0.000000000000000000e+00,5.466976418884370581e-01
8.899999856948852539e-01,3.741841637757803984e-01,6.634065993270843453e-01
1.149999976158142090e+00,1.285451105257726878e+00,1.169145376247913815e+00
9.800000190734863281e-01,0.000000000000000000e+00,8.384700934550193274e-01
7.500000000000000000e-01,9.220487026200558933e-01,3.910857372835498946e-01
6.700000166893005371e-01,0.000000000000000000e+00,2.354738326786627312e-01
6.600000262260437012e-01,2.251611383247136694e-02,2.160223590955427930e-01
9.399999976158142090e-01,4.121732241349639891e-01,7.606640831826119165e-01
1.309999942779541016e+00,0.000000000000000000e+00,1.480369185457688141e+00
7.300000190734863281e-01,9.612019172911613618e-02,3.521827901173100184e-01
5.799999833106994629e-01,0.000000000000000000e+00,6.041033855072774905e-02
1.000000000000000000e+00,0.000000000000000000e+00,8.773730406212592037e-01
3.000000000000000000e+00,5.201240756010397703e+00,4.767671467322934120e+00
5.500000119209289551e-01,6.729875023475037077e-01,2.055917801367934672e-03
9.499999880790710449e-01,1.106396391825038128e+00,7.801155567657318546e-01
3.849999904632568359e+00,7.460542218762140187e+00,6.421048113167261207e+00
2.839999914169311523e+00,5.454343615911295018e+00,4.456447426233303588e+00
8.399999737739562988e-01,3.110685295833180986e-01,5.661491154715569962e-01
9.300000071525573730e-01,7.287676389552429912e-01,7.412126095994919783e-01
9.300000071525573730e-01,2.187242151240813559e-01,7.412126095994919783e-01
2.170000076293945312e+00,2.979528518232600121e+00,3.153197768644846910e+00
9.499999880790710449e-01,0.000000000000000000e+00,7.801155567657318546e-01
3.400000035762786865e-01,0.000000000000000000e+00,-4.064254332338977926e-01
2.170000076293945312e+00,2.733103258367110655e+00,3.153197768644846910e+00
2.000000000000000000e+00,3.076791247334806911e+00,2.822522253972096884e+00
